Date,Holiday
2016-11-11,Veterans Day
2015-07-03,Independence Day (Observed)
2015-02-16,Washington's Birthday
2016-05-30,Memorial Day
2016-12-25,Christmas Day
2015-11-11,Veterans Day
2015-12-25,Christmas Day
2016-11-24,Thanksgiving
2015-04-16,Emancipation Day
2016-04-15,Emancipation Day (Observed)
2015-05-25,Memorial Day
2016-01-18,"Martin Luther King, Jr. Day"
2016-04-16,Emancipation Day
2015-11-26,Thanksgiving
2015-01-01,New Year's Day
2016-01-01,New Year's Day
2015-01-19,"Martin Luther King, Jr. Day"
2015-07-04,Independence Day
2016-09-05,Labor Day
2015-09-07,Labor Day
2016-02-15,Washington's Birthday
2016-12-26,Christmas Day (Observed)
2016-07-04,Independence Day
2016-10-10,Columbus Day
2015-10-12,Columbus Day
